launchangle,launchspeed,pitchtype,outcome,bbtype
53,80,Four-Seam Fastball,out,fly_ball
33,77,Slider,out,fly_ball
24,88,Changeup,out,line_drive
-25,63,Slider,out,ground_ball
-14,86,Four-Seam Fastball,out,ground_ball
51,81,Curveball,out,fly_ball
0,71,Slider,out,ground_ball
39,80,Curveball,out,fly_ball
34,79,Four-Seam Fastball,out,fly_ball
-28,78,Curveball,out,ground_ball
47,87,Curveball,out,fly_ball
57,97,Four-Seam Fastball,out,fly_ball
-19,59,Slider,out,ground_ball
15,66,Slider,out,line_drive
27,80,Changeup,out,line_drive
-14,91,Slider,out,ground_ball
75,51,Four-Seam Fastball,out,popup
69,80,Changeup,out,popup
-40,77,Curveball,out,ground_ball
32,89,Slider,out,fly_ball
69,80,Changeup,out,popup
22,93,Four-Seam Fastball,out,line_drive
69,80,Curveball,out,popup
-27,100,Slider,out,ground_ball
21,102,Four-Seam Fastball,out,line_drive
20,91,Four-Seam Fastball,out,line_drive
-21,68,Slider,out,ground_ball
69,80,Four-Seam Fastball,out,popup
34,95,Four-Seam Fastball,out,fly_ball
-54,62,Changeup,out,ground_ball
25,88,Slider,out,line_drive
2,101,Curveball,out,ground_ball
40,89,Changeup,out,fly_ball
11,81,Curveball,out,ground_ball
69,80,Four-Seam Fastball,out,popup
52,90,Slider,out,fly_ball
52,83,Slider,out,fly_ball
-4,97,Slider,out,ground_ball
69,80,Four-Seam Fastball,out,popup
37,100,Curveball,out,fly_ball
69,80,Four-Seam Fastball,out,popup
67,85,Slider,out,popup
-4,80,Slider,out,ground_ball
-21,82,Slider,out,ground_ball
42,71,Four-Seam Fastball,out,fly_ball
38,100,Four-Seam Fastball,out,fly_ball
45,97,Slider,out,fly_ball
-25,68,Curveball,out,ground_ball
19,102,Four-Seam Fastball,out,line_drive
-45,80,Curveball,out,ground_ball
-21,82,Curveball,out,ground_ball
44,92,Slider,out,fly_ball
34,99,Four-Seam Fastball,out,fly_ball
-2,82,Slider,out,ground_ball
34,100,Slider,out,fly_ball
41,78,Four-Seam Fastball,out,fly_ball
-9,99,Slider,out,ground_ball
-30,65,Slider,out,ground_ball
